질문,타입소분류,타입대분류
나는 협업보다 혼자 프로젝트를 진행하는 것이 편하다., A,1
우울할 때 밖으로 나가 친구랑 논다., T,1
혼자서 노는 것보다 사람들이랑 술 먹는게 좋다., T,1
개발할 때 디자이너랑 많이 싸우는 편이다.,A,1
종종 비현실적이고 터무니없지만 흥미로운 아이디어로 개발을 시작한다.,R,2
코딩 농담에 웃는 사람들이 이해가 안 간다.,F,2
서점에 코딩 관련 서적이 부족하다고 생각한다.,R,2
노트북 충전기를 안 꽂고 코딩한다.,F,2
개발하느라 이틀 이상 씻지 않은 적 있다.,R,2
나는 IDE 가 없으면 코딩을 못하겠다.,F,2
다른 사람들이 어떤 생각을 하는지에 대해 지나치게 신경 쓴다.,E,3
본인이 창의적이기보다 현실적인 사람이라고 생각한다.,C,3
코드가 잘 안 풀리면 폭력적인 성향을 보인다.,E,3
나는 오류가 나면 낙담하기보다 먼저 왜 틀렸는지 고민한다.,C,3
코딩을 하다가 현타가 와서 '왜 이러고 살지' 생각한 적 있다.,E,3
주석을 꼼꼼히 다는 편이다.,C,3
체계적으로 코딩하는 것이 중요하다.,P,4
일단 코드를 짜보고 막히면 다시 생각한다.,I,4
일정표를 만들어 잘 지킨다.,P,4
계획보다 실제로 개발하는 능력이 더 중요하다.,I,4
언제나 항상 새로운 아이디어와 계획이 머릿속에 넘쳐난다.,I,4
주석을 꼼꼼히 다는 편이다.,P,4
조별 과제에서 주로 ppt 작업을 맡는 편이다.,개,5
팀이 있으면 나서서 리더가 되고 싶다.,기,5
나는 직접 대화하는 것보다 메일이나 톡을 주고받는 것이 편하다.,개,5
멀리 나가서 맛있는 밥 먹는 것보다 롯데리아나 가서 빨리 밥 먹고 오는 게 좋다.,개,5
전자제품은 때려야 말을 듣는다고 생각한다.,기,5
말도 안 되는 요구를 해서 자주 빠꾸를 먹는다.,기,5
